No,Tanggal,Nama,Awal,Tambahan,Penjualan,Diambil,Sisa,Total
1,18/02/2022,Bronis Kukus,1,5,1,0,5,1
2,18/02/2022,Bronis Oven,2,0,0,0,2,0
3,18/02/2022,F 20,1,1,0,0,2,0
4,18/02/2022,B 20,1,1,0,0,2,0
5,18/02/2022,F Kacang,0,0,0,0,0,0
6,18/02/2022,B Kacang,0,0,0,0,0,0
7,18/02/2022,Marmer Kotak,1,1,0,0,2,0
8,18/02/2022,Marmer Bulat,0,1,1,0,0,1
9,18/02/2022,Pandan Kotak,1,1,1,0,1,1
10,18/02/2022,Pandan Bulat,0,1,0,0,1,0
11,18/02/2022,Chiffon Keju,0,0,0,0,0,0
12,18/02/2022,Chiffon Biasa,0,0,0,0,0,0
13,18/02/2022,Bakpia,0,0,0,0,0,0
14,18/02/2022,Tawar,0,4,0,0,4,0
15,18/02/2022,Taker,13,0,0,0,13,0
16,18/02/2022,Lapis Warna 20 cm Kotak,0,0,0,0,0,0
17,18/02/2022,Lapis Warna 20 cm Bulat,0,0,0,0,0,0
18,18/02/2022,Lapis Warna 18 cm Kotak,0,0,0,0,0,0
19,18/02/2022,Roll Nanas K,0,0,0,0,0,0
20,18/02/2022,Roll Coklat B,1,0,0,0,1,0
21,18/02/2022,Roll Coklat K,1,0,0,0,1,0
22,18/02/2022,Cake Tape,0,3,0,0,3,0
23,18/02/2022,Cake Spekuk,0,0,0,0,0,0
24,18/02/2022,Cake Keju,1,1,0,0,2,0
25,18/02/2022,Cake Keju Meses,1,2,1,0,2,1
26,18/02/2022,Cake Meses,0,0,0,0,0,0
27,18/02/2022,Aloha,1,2,1,0,2,1
28,18/02/2022,Abon,4,2,5,0,1,5
29,18/02/2022,Ayam,2,2,1,0,3,1
30,18/02/2022,Almond,0,0,0,0,0,0
31,18/02/2022,Cocopandan,0,2,0,0,2,0
32,18/02/2022,Cheesy,0,0,0,0,0,0
33,18/02/2022,Chocy Lover,4,2,2,0,4,2
34,18/02/2022,Cream Keju,2,2,2,0,2,2
35,18/02/2022,Durian,2,2,2,0,2,2
36,18/02/2022,Long Stik,2,2,2,0,2,2
37,18/02/2022,Rapisa,0,2,0,0,2,0
38,18/02/2022,Space Jam,2,0,1,0,1,1
39,18/02/2022,Pisang Coklat,8,4,9,0,3,9
40,18/02/2022,Kacang Merah,2,2,2,0,2,2
41,18/02/2022,Vanilla,2,2,2,0,2,2
42,18/02/2022,Banana,2,2,2,0,2,2
43,18/02/2022,Mocca,14,0,8,0,6,8
44,18/02/2022,Susu,0,6,0,0,6,0
45,18/02/2022,Srikaya,0,0,0,0,0,0
46,18/02/2022,Roman Tape,0,6,0,0,6,0
47,18/02/2022,Donat,0,0,0,0,0,0
48,18/02/2022,Krumpul,6,4,2,6,2,8
49,18/02/2022,Tiramisu,5,0,0,0,5,0
50,19/02/2022,Bronis Kukus,5,1,6,0,0,6
51,19/02/2022,Bronis Oven,2,0,0,0,2,0
52,19/02/2022,F 20,2,1,3,0,0,3
53,19/02/2022,B 20,2,1,3,0,0,3
54,19/02/2022,F Kacang,0,0,0,0,0,0
55,19/02/2022,B Kacang,0,0,0,0,0,0
56,19/02/2022,Marmer Kotak,2,1,2,0,1,2
57,19/02/2022,Marmer Bulat,0,1,0,0,1,0
58,19/02/2022,Pandan Kotak,1,1,2,0,0,2
59,19/02/2022,Pandan Bulat,1,1,2,0,0,2
60,19/02/2022,Chiffon Keju,0,0,0,0,0,0
61,19/02/2022,Chiffon Biasa,0,0,0,0,0,0
62,19/02/2022,Bakpia,0,0,0,0,0,0
63,19/02/2022,Tawar,4,4,1,1,6,2
64,19/02/2022,Taker,13,0,0,0,13,0
65,19/02/2022,Lapis Warna 20 cm Kotak,0,0,0,0,0,0
66,19/02/2022,Lapis Warna 20 cm Bulat,0,0,0,0,0,0
67,19/02/2022,Lapis Warna 18 cm Kotak,0,0,0,0,0,0
68,19/02/2022,Roll Nanas K,0,0,0,0,0,0
69,19/02/2022,Roll Coklat B,1,1,1,0,1,1
70,19/02/2022,Roll Coklat K,1,2,1,0,2,1
71,19/02/2022,Cake Tape,3,0,3,0,0,3
72,19/02/2022,Cake Spekuk,0,0,0,0,0,0
73,19/02/2022,Cake Keju,2,0,2,0,0,2
74,19/02/2022,Cake Keju Meses,2,0,2,0,0,2
75,19/02/2022,Cake Meses,0,0,0,0,0,0
76,19/02/2022,Aloha,2,2,0,0,4,0
77,19/02/2022,Abon,1,2,1,0,2,1
78,19/02/2022,Ayam,3,2,2,0,3,2
79,19/02/2022,Almond,0,0,0,0,0,0
80,19/02/2022,Cocopandan,2,2,0,0,4,0
81,19/02/2022,Cheesy,0,0,0,0,0,0
82,19/02/2022,Chocy Lover,4,2,0,0,6,0
83,19/02/2022,Cream Keju,2,2,2,0,2,2
84,19/02/2022,Durian,2,2,0,0,4,0
85,19/02/2022,Long Stik,2,2,0,0,4,0
86,19/02/2022,Rapisa,2,2,2,0,2,2
87,19/02/2022,Space Jam,1,2,0,0,3,0
88,19/02/2022,Pisang Coklat,3,6,2,0,7,2
89,19/02/2022,Kacang Merah,2,2,0,0,4,0
90,19/02/2022,Vanilla,2,0,0,0,2,0
91,19/02/2022,Banana,2,0,0,0,2,0
92,19/02/2022,Mocca,6,0,0,0,6,0
93,19/02/2022,Susu,6,0,0,0,6,0
94,19/02/2022,Srikaya,0,0,0,0,0,0
95,19/02/2022,Roman Tape,6,0,2,0,4,2
96,19/02/2022,Donat,0,0,0,0,0,0
97,19/02/2022,Krumpul,2,4,0,0,6,0
98,19/02/2022,Tiramisu,5,0,5,0,0,5
99,20/02/2022,Bronis Kukus,0,0,0,0,0,0
100,20/02/2022,Bronis Oven,2,0,2,0,0,2
101,20/02/2022,F 20,0,0,0,0,0,0
102,20/02/2022,B 20,0,0,0,0,0,0
103,20/02/2022,F Kacang,0,0,0,0,0,0
104,20/02/2022,B Kacang,0,0,0,0,0,0
105,20/02/2022,Marmer Kotak,1,0,1,0,0,1
106,20/02/2022,Marmer Bulat,1,0,1,0,0,1
107,20/02/2022,Pandan Kotak,0,0,0,0,0,0
108,20/02/2022,Pandan Bulat,0,0,0,0,0,0
109,20/02/2022,Chiffon Keju,0,0,0,0,0,0
110,20/02/2022,Chiffon Biasa,0,0,0,0,0,0
111,20/02/2022,Bakpia,0,0,0,0,0,0
112,20/02/2022,Tawar,6,0,1,3,2,4
113,20/02/2022,Taker,13,0,0,0,13,0
114,20/02/2022,Lapis Warna 20 cm Kotak,0,0,0,0,0,0
115,20/02/2022,Lapis Warna 20 cm Bulat,0,0,0,0,0,0
116,20/02/2022,Lapis Warna 18 cm Kotak,0,0,0,0,0,0
117,20/02/2022,Roll Nanas K,0,0,0,0,0,0
118,20/02/2022,Roll Coklat B,1,0,0,0,1,0
119,20/02/2022,Roll Coklat K,2,0,0,0,2,0
120,20/02/2022,Cake Tape,0,0,0,0,0,0
121,20/02/2022,Cake Spekuk,0,0,0,0,0,0
122,20/02/2022,Cake Keju,0,0,0,0,0,0
123,20/02/2022,Cake Keju Meses,0,0,0,0,0,0
124,20/02/2022,Cake Meses,0,0,0,0,0,0
125,20/02/2022,Aloha,4,0,1,0,3,1
126,20/02/2022,Abon,2,0,0,0,2,0
127,20/02/2022,Ayam,3,0,0,0,3,0
128,20/02/2022,Almond,0,0,0,0,0,0
129,20/02/2022,Cocopandan,4,0,1,0,3,1
130,20/02/2022,Cheesy,0,7,0,0,7,0
131,20/02/2022,Chocy Lover,6,0,1,0,5,1
132,20/02/2022,Cream Keju,2,0,0,0,2,0
133,20/02/2022,Durian,4,0,1,0,3,1
134,20/02/2022,Long Stik,4,0,0,0,4,0
135,20/02/2022,Rapisa,2,0,1,0,1,1
136,20/02/2022,Space Jam,3,0,1,0,2,1
137,20/02/2022,Pisang Coklat,7,0,4,0,3,4
138,20/02/2022,Kacang Merah,4,0,0,0,4,0
139,20/02/2022,Vanilla,2,0,2,0,0,2
140,20/02/2022,Banana,2,0,0,0,2,0
141,20/02/2022,Mocca,6,0,0,0,6,0
142,20/02/2022,Susu,6,0,1,0,5,1
143,20/02/2022,Srikaya,0,0,0,0,0,0
144,20/02/2022,Roman Tape,4,0,1,0,3,1
145,20/02/2022,Donat,0,0,0,0,0,0
146,20/02/2022,Krumpul,6,0,0,0,6,0
147,20/02/2022,Tiramisu,0,0,0,0,0,0
148,21/02/2022,Bronis Kukus,0,4,3,0,1,3
149,21/02/2022,Bronis Oven,0,3,0,0,3,0
150,21/02/2022,F 20,0,1,1,0,0,1
151,21/02/2022,B 20,0,1,0,0,1,0
152,21/02/2022,F Kacang,0,0,0,0,0,0
153,21/02/2022,B Kacang,0,0,0,0,0,0
154,21/02/2022,Marmer Kotak,0,1,0,0,1,0
155,21/02/2022,Marmer Bulat,0,1,0,0,1,0
156,21/02/2022,Pandan Kotak,0,1,0,0,1,0
157,21/02/2022,Pandan Bulat,0,1,0,0,1,0
158,21/02/2022,Chiffon Keju,0,0,0,0,0,0
159,21/02/2022,Chiffon Biasa,0,0,0,0,0,0
160,21/02/2022,Bakpia,0,0,0,0,0,0
161,21/02/2022,Tawar,2,4,4,0,2,4
162,21/02/2022,Taker,13,0,0,0,13,0
163,21/02/2022,Lapis Warna 20 cm Kotak,0,0,0,0,0,0
164,21/02/2022,Lapis Warna 20 cm Bulat,0,0,0,0,0,0
165,21/02/2022,Lapis Warna 18 cm Kotak,0,0,0,0,0,0
166,21/02/2022,Roll Nanas K,0,0,0,0,0,0
167,21/02/2022,Roll Coklat B,1,1,1,0,1,1
168,21/02/2022,Roll Coklat K,2,1,2,0,1,2
169,21/02/2022,Cake Tape,0,3,1,0,2,1
170,21/02/2022,Cake Spekuk,0,0,0,0,0,0
171,21/02/2022,Cake Keju,0,1,1,0,0,1
172,21/02/2022,Cake Keju Meses,0,3,2,0,1,2
173,21/02/2022,Cake Meses,0,0,0,0,0,0
174,21/02/2022,Aloha,3,2,2,0,3,2
175,21/02/2022,Abon,2,9,0,0,11,0
176,21/02/2022,Ayam,3,2,2,0,3,2
177,21/02/2022,Almond,0,0,0,0,0,0
178,21/02/2022,Cocopandan,4,2,2,0,4,2
